date_value,month_num,season,tmax,tmin,tavg,snowfall,snow_depth,precipitation,weather_type,wind_speed,humidity,pressure,visibility,cloud_cover,storm_flag,rain_flag,fog_flag,heat_index,dew_point,feels_like,wind_direction,day_name,city
2019-03-31,3,Spring,8.71,6.65,6.23,1.15,6.84,0.32,Sunny,2.91,51,980.92,3.98,8,1,1,0,25.95,5.99,14.39,NE,Sunday,New York
2019-04-01,4,Spring,18.49,6.61,11.09,2.52,6.91,4.05,Cloudy,10.16,20,1000.47,4.81,6,0,1,0,14.63,4.54,26.57,NW,Monday,New York
2019-04-02,4,Spring,17.75,7.5,12.04,0.25,3.3,4.77,Fog,28.67,26,1012.21,1.11,0,0,0,0,24.7,3.18,27.87,SW,Tuesday,New York
2019-04-03,4,Spring,18.84,6.39,8.29,6.95,5.17,3.8,Sunny,27.92,56,992.35,7.82,8,1,1,0,11.82,0.44,14.11,SW,Wednesday,New York
2019-04-04,4,Spring,1.31,9.08,13.18,6.37,0.04,1.36,Rain,24.33,54,1004.92,0.55,0,0,1,1,27.45,8.36,23.59,SW,Thursday,New York
2019-04-05,4,Spring,6.09,5.45,12.19,4.51,3.1,3.58,Sunny,6.77,47,1004.14,5.58,8,1,1,1,16.91,7.29,19.27,S,Friday,New York
2019-04-06,4,Spring,11.94,5.27,14.45,0.46,2.24,2.21,Rain,16.79,46,1008.33,3.93,3,0,1,0,31.84,0.32,29.39,N,Saturday,New York
2019-04-07,4,Spring,19.37,7.76,10.98,5.46,0.38,2.71,Cloudy,24.88,52,1005.11,5.6,3,1,1,0,19.07,8.05,22.03,NE,Sunday,New York
2019-04-08,4,Spring,14.76,7.8,3.42,7.16,1.09,4.35,Fog,27.32,22,1007.8,3.21,0,1,0,1,30.1,9.24,23.74,E,Monday,New York
2019-04-09,4,Spring,9.01,3.99,3.84,2.68,9.64,3.41,Rain,11.23,21,1014.01,2.77,1,1,0,0,13.08,6.72,13.61,N,Tuesday,New York
2019-04-10,4,Spring,19.05,0.24,5.03,0.04,4.22,3.42,Rain,11.52,64,1012.94,5.56,4,1,1,0,7.32,1.17,16.87,W,Wednesday,New York
2019-04-11,4,Spring,17.02,1.8,3.97,2.51,3.59,3.29,Rain,11.81,50,980.33,1.75,4,0,1,1,4.09,8.73,11.83,SE,Thursday,New York
2019-04-12,4,Spring,7.84,8.43,7.41,5.57,2.45,1.2,Rain,6.54,50,989.55,9.47,4,1,1,0,27.12,9.98,3.39,NE,Friday,New York
2019-04-13,4,Spring,13.48,7.91,11.6,0.1,7.02,1.88,Sunny,28.18,83,992.01,3.51,7,1,1,0,6.05,3.28,7.77,NE,Saturday,New York
2019-04-14,4,Spring,3.43,9.67,12.99,1.38,0.17,0.41,Fog,13.73,91,1014.83,3.3,4,0,0,0,9.33,9.0,7.52,S,Sunday,New York
2019-04-15,4,Spring,15.41,3.74,12.57,2.23,4.88,1.33,Rain,4.8,80,1018.98,6.6,3,1,1,0,29.43,6.13,0.47,NW,Monday,New York
2019-04-16,4,Spring,18.37,3.62,1.78,7.66,9.86,1.17,Cloudy,20.14,72,1004.33,3.7,4,0,1,1,39.45,1.85,12.44,NW,Tuesday,New York
2019-04-17,4,Spring,5.54,5.54,1.39,1.98,2.6,2.61,Fog,10.01,95,981.67,9.11,3,0,1,1,27.09,8.07,13.18,NE,Wednesday,New York
2019-04-18,4,Spring,2.43,5.49,10.23,4.12,7.97,2.14,Rain,6.3,97,1000.47,3.29,0,0,0,1,33.96,8.99,4.19,S,Thursday,New York
2019-04-19,4,Spring,11.12,1.09,10.07,7.15,7.27,0.21,Rain,14.07,48,1011.82,8.41,9,0,1,1,18.77,4.34,21.79,SE,Friday,New York
2019-04-20,4,Spring,14.96,2.52,6.8,5.01,8.13,2.91,Rain,29.32,94,1004.64,2.48,3,1,1,1,11.61,0.66,29.41,N,Saturday,New York
2019-04-21,4,Spring,4.81,9.42,14.09,3.37,8.19,2.63,Rain,26.31,94,1009.95,2.16,3,1,0,1,2.35,1.9,19.71,NW,Sunday,New York
2019-04-22,4,Spring,1.62,1.75,2.67,1.14,6.47,4.44,Cloudy,2.33,77,1003.12,3.7,6,1,1,1,11.85,6.16,15.49,SE,Monday,New York
2019-04-23,4,Spring,11.94,7.98,5.18,6.45,3.37,1.05,Rain,8.93,57,990.31,7.26,2,1,0,1,21.88,9.61,1.02,S,Tuesday,New York
2019-04-24,4,Spring,14.77,2.36,6.53,5.74,9.09,4.72,Sunny,23.19,82,1018.26,1.64,3,1,0,0,26.88,0.34,27.06,NW,Wednesday,New York
2019-04-25,4,Spring,15.86,4.35,6.26,3.61,4.9,1.76,Cloudy,18.69,87,1003.24,4.65,3,0,1,1,23.99,9.5,28.06,S,Thursday,New York
2019-04-26,4,Spring,14.68,9.36,10.51,6.41,2.89,4.0,Sunny,19.27,32,982.48,0.91,9,1,1,0,8.8,5.33,18.22,NE,Friday,New York
2019-04-27,4,Spring,10.61,4.37,0.08,0.63,8.22,3.69,Sunny,29.35,72,1010.73,2.98,9,1,0,0,24.01,8.24,9.74,SW,Saturday,New York
2019-04-28,4,Spring,12.53,7.21,11.97,5.8,5.63,2.93,Cloudy,8.97,97,1007.48,1.45,6,1,0,0,28.35,9.92,8.12,SE,Sunday,New York
2019-04-29,4,Spring,11.51,3.58,12.57,1.89,8.86,3.56,Rain,14.93,87,995.46,7.27,8,0,0,0,0.91,5.17,10.4,SE,Monday,New York
2019-04-30,4,Spring,3.26,4.31,5.45,1.82,0.98,4.46,Fog,26.6,35,987.76,0.68,1,0,0,1,25.1,8.81,23.03,S,Tuesday,New York
2019-05-01,5,Spring,13.4,3.8,0.77,6.31,3.07,3.64,Fog,15.06,65,997.48,8.45,9,0,1,1,12.78,1.76,27.34,SE,Wednesday,New York
2019-05-02,5,Spring,19.23,7.43,1.84,3.13,6.39,0.16,Cloudy,11.34,31,1016.62,1.24,5,1,0,1,36.79,0.63,7.54,E,Thursday,New York
2019-05-03,5,Spring,7.82,6.89,8.85,7.27,4.43,2.36,Sunny,26.06,65,984.47,2.16,1,1,0,1,32.25,8.63,27.27,N,Friday,New York
2019-05-04,5,Spring,10.12,1.78,1.37,4.64,6.09,1.98,Fog,7.18,70,1013.42,2.3,6,0,1,1,33.77,3.62,16.41,SE,Saturday,New York
2019-05-05,5,Spring,2.52,6.6,1.86,2.61,2.15,1.61,Rain,8.45,32,1018.85,4.8,2,0,0,1,22.08,6.46,3.6,E,Sunday,New York
2019-05-06,5,Spring,4.29,6.12,9.21,7.22,2.92,1.14,Rain,8.47,50,1004.47,8.42,3,0,0,0,39.17,5.56,7.57,N,Monday,New York
2019-05-07,5,Spring,14.39,8.67,4.83,7.07,5.91,2.43,Snow,28.21,23,986.22,4.47,2,1,0,1,27.42,9.56,17.49,S,Tuesday,New York
2019-05-08,5,Spring,16.55,0.92,5.56,0.19,7.53,1.68,Snow,9.27,49,980.43,0.44,8,0,1,1,22.05,3.91,13.35,E,Wednesday,New York
2019-05-09,5,Spring,3.21,6.08,13.74,3.2,6.07,2.16,Snow,14.9,54,1004.73,2.61,3,0,1,0,37.5,8.48,4.1,W,Thursday,New York
2019-05-10,5,Spring,12.0,4.31,7.65,4.02,9.11,0.69,Cloudy,27.23,42,1004.41,0.23,8,0,0,0,28.77,1.16,24.79,NW,Friday,New York
2019-05-11,5,Spring,13.33,4.01,6.71,6.23,5.67,4.0,Fog,16.37,63,997.64,9.8,9,0,1,0,36.9,4.89,17.94,W,Saturday,New York
2019-05-12,5,Spring,15.36,2.57,2.83,0.95,9.9,3.44,Fog,17.23,63,1003.69,2.04,4,1,1,0,23.37,5.56,21.48,NE,Sunday,New York
2019-05-13,5,Spring,5.31,9.24,5.85,7.17,3.17,0.82,Snow,13.59,26,1007.53,8.45,5,1,1,1,12.55,6.26,28.62,NW,Monday,New York
2019-05-14,5,Spring,18.28,8.19,8.97,2.34,1.52,1.9,Cloudy,19.71,42,991.6,6.45,4,1,1,1,0.26,3.94,15.89,SW,Tuesday,New York
2019-05-15,5,Spring,14.32,6.44,13.35,0.85,2.36,0.1,Fog,27.48,50,997.2,1.17,2,0,1,1,38.47,1.33,14.4,N,Wednesday,New York
2019-05-16,5,Spring,1.26,0.89,2.96,0.31,1.33,2.53,Snow,14.34,82,990.8,3.79,5,1,0,0,22.31,9.9,18.72,SW,Thursday,New York
2019-05-17,5,Spring,2.71,4.51,0.56,3.2,2.71,2.88,Sunny,3.11,52,986.51,8.49,5,1,0,0,12.5,4.97,14.57,SE,Friday,New York
2019-05-18,5,Spring,15.38,6.98,1.16,1.03,2.77,1.35,Sunny,4.88,66,993.65,9.77,5,1,1,0,12.22,3.03,10.45,NE,Saturday,New York
2019-05-19,5,Spring,8.0,9.84,12.26,2.45,7.13,2.61,Snow,12.92,70,1012.86,0.79,2,1,0,1,11.33,1.81,15.31,N,Sunday,New York
2019-05-20,5,Spring,13.08,8.25,9.02,7.98,0.5,1.24,Cloudy,12.2,38,1010.96,8.64,5,0,0,1,15.89,6.68,5.76,S,Monday,New York
2019-05-21,5,Spring,13.88,5.04,6.61,0.08,4.46,4.28,Sunny,22.19,66,1005.98,5.02,4,0,0,1,11.23,9.54,24.8,W,Tuesday,New York
2019-05-22,5,Spring,13.9,6.83,2.22,5.05,3.99,2.55,Cloudy,16.47,24,996.87,7.64,2,0,0,1,24.82,7.07,20.85,W,Wednesday,New York
2019-05-23,5,Spring,19.59,0.88,12.82,2.53,3.62,1.36,Cloudy,23.32,48,994.32,3.38,7,1,0,0,7.35,8.55,12.45,NW,Thursday,New York
2019-05-24,5,Spring,1.85,8.33,13.03,4.98,9.05,2.16,Cloudy,24.61,89,1019.4,8.51,5,0,1,1,39.13,9.38,1.18,SW,Friday,New York
2019-05-25,5,Spring,7.54,1.05,3.99,3.52,2.52,3.12,Snow,23.71,88,1017.47,0.75,5,1,0,0,21.82,3.8,7.63,SE,Saturday,New York
2019-05-26,5,Spring,10.24,5.25,5.47,6.56,3.11,1.64,Cloudy,10.93,51,1013.32,8.07,1,1,0,1,37.03,5.7,18.88,SW,Sunday,New York
2019-05-27,5,Spring,16.65,3.8,4.21,5.01,8.27,1.69,Cloudy,3.86,50,1010.52,5.37,4,1,1,1,7.35,1.59,9.77,W,Monday,New York
2019-05-28,5,Spring,3.05,0.95,0.17,3.68,6.98,1.97,Snow,12.04,38,1001.77,6.29,5,1,1,1,21.62,4.33,25.74,N,Tuesday,New York
2019-05-29,5,Spring,3.33,7.61,3.62,7.14,2.43,1.26,Sunny,22.23,47,981.75,5.54,7,0,0,1,30.61,2.66,19.24,SW,Wednesday,New York
2019-05-30,5,Spring,8.29,1.03,3.01,6.64,2.76,2.73,Snow,1.89,50,1014.07,7.35,8,0,0,1,23.18,8.5,2.19,N,Thursday,New York
2019-05-31,5,Spring,1.99,9.18,1.05,7.75,9.47,3.6,Rain,14.36,44,1002.15,3.29,7,0,0,1,25.89,2.35,1.85,NW,Friday,New York
2019-06-01,6,Summer,9.33,8.95,0.6,3.81,3.98,0.3,Fog,8.13,41,1008.32,7.94,8,1,1,1,9.88,8.16,24.64,NW,Saturday,New York
2019-06-02,6,Summer,15.36,3.54,7.77,1.99,4.6,0.27,Cloudy,8.03,84,991.64,4.95,1,0,0,0,12.2,7.12,6.01,S,Sunday,New York
2019-06-03,6,Summer,15.55,3.16,9.11,5.63,6.25,1.39,Sunny,24.24,57,1005.24,10.0,0,1,0,0,30.41,1.75,21.9,W,Monday,New York
2019-06-04,6,Summer,6.71,5.5,2.52,3.95,1.15,4.59,Snow,20.91,31,981.28,0.54,8,0,1,1,34.45,0.27,8.26,W,Tuesday,New York
2019-06-05,6,Summer,15.38,5.79,13.02,2.23,0.57,4.51,Rain,25.71,52,1003.76,6.37,4,1,1,0,38.02,1.8,21.25,SE,Wednesday,New York
2019-06-06,6,Summer,11.43,2.32,5.97,1.99,8.57,2.76,Snow,20.47,83,983.74,4.03,8,0,1,0,12.2,9.27,1.76,S,Thursday,New York
2019-06-07,6,Summer,9.73,2.48,1.65,7.05,6.05,0.91,Sunny,14.67,35,988.79,2.36,8,0,0,0,19.64,8.69,18.76,NW,Friday,New York
2019-06-08,6,Summer,11.61,9.58,12.6,7.46,6.72,3.35,Snow,22.91,85,983.37,7.63,8,0,0,1,1.99,2.92,10.92,SW,Saturday,New York
